Date,Adj Close,Open,High,Low,Vol.,Change %
7-Sep-20,0.66,0.665,0.67,0.655,7.10M,-0.75%
4-Sep-20,0.665,0.665,0.68,0.66,11.73M,-2.21%
3-Sep-20,0.68,0.68,0.68,0.655,19.79M,0.00%
2-Sep-20,0.68,0.67,0.68,0.665,8.74M,0.00%
1-Sep-20,0.68,0.66,0.68,0.645,11.60M,3.03%
28-Aug-20,0.66,0.66,0.68,0.655,16.32M,0.00%
27-Aug-20,0.66,0.67,0.67,0.64,45.19M,-2.94%
26-Aug-20,0.68,0.68,0.7,0.665,24.71M,-3.55%
25-Aug-20,0.705,0.715,0.72,0.695,21.56M,-0.70%
24-Aug-20,0.71,0.68,0.715,0.67,29.10M,5.97%
21-Aug-20,0.67,0.665,0.68,0.66,11.91M,1.52%
19-Aug-20,0.66,0.66,0.67,0.655,8.82M,0.00%
18-Aug-20,0.66,0.665,0.675,0.66,8.94M,-0.75%
17-Aug-20,0.665,0.67,0.675,0.66,10.86M,-0.75%
14-Aug-20,0.67,0.69,0.69,0.65,17.34M,-2.19%
13-Aug-20,0.685,0.7,0.72,0.68,31.43M,-1.44%
12-Aug-20,0.695,0.675,0.74,0.665,98.90M,5.30%
11-Aug-20,0.66,0.69,0.7,0.64,18.59M,-3.65%
10-Aug-20,0.685,0.695,0.725,0.68,38.30M,2.24%
8-Aug-20,0.67,0.7,0.7,0.67,17.81M,3.08%
7-Aug-20,0.65,0.67,0.68,0.65,16.95M,0.00%
6-Aug-20,0.65,0.59,0.68,0.58,36.00M,10.17%
5-Aug-20,0.59,0.6,0.6,0.575,16.63M,-1.67%
4-Aug-20,0.6,0.6,0.61,0.595,19.75M,0.00%
3-Aug-20,0.6,0.635,0.635,0.595,39.32M,-6.25%
30-Jul-20,0.64,0.67,0.675,0.64,35.16M,-5.19%
29-Jul-20,0.675,0.69,0.695,0.665,24.33M,-2.17%
28-Jul-20,0.69,0.7,0.7,0.69,24.17M,-1.43%
27-Jul-20,0.7,0.715,0.715,0.695,26.61M,-1.41%
24-Jul-20,0.71,0.71,0.735,0.705,20.07M,0.00%
23-Jul-20,0.71,0.705,0.715,0.7,15.73M,0.71%
22-Jul-20,0.705,0.71,0.715,0.705,8.20M,-1.40%
21-Jul-20,0.715,0.7,0.735,0.7,25.77M,0.00%
20-Jul-20,0.715,0.73,0.735,0.71,16.44M,-2.72%
17-Jul-20,0.735,0.735,0.74,0.725,8.38M,0.00%
16-Jul-20,0.735,0.755,0.755,0.73,15.07M,-2.65%
15-Jul-20,0.755,0.74,0.76,0.73,23.43M,2.03%
14-Jul-20,0.74,0.75,0.755,0.73,41.30M,-2.63%
13-Jul-20,0.76,0.78,0.79,0.75,35.51M,-2.56%
10-Jul-20,0.78,0.75,0.785,0.75,83.95M,4.00%
9-Jul-20,0.75,0.7,0.76,0.66,184.99M,6.38%
8-Jul-20,0.705,0.73,0.8,0.705,224.10M,-17.54%
7-Jul-20,0.855,0.865,0.88,0.855,69.07M,-4.47%
6-Jul-20,0.895,0.895,0.91,0.89,17.38M,-0.56%
3-Jul-20,0.9,0.91,0.92,0.9,15.34M,-1.10%
2-Jul-20,0.91,0.905,0.945,0.895,44.23M,0.55%
1-Jul-20,0.905,0.875,0.915,0.875,60.45M,3.43%
30-Jun-20,0.875,0.86,0.885,0.855,40.55M,2.94%
29-Jun-20,0.85,0.85,0.865,0.835,25.63M,0.00%
26-Jun-20,0.85,0.855,0.87,0.84,26.81M,0.00%
25-Jun-20,0.85,0.86,0.87,0.84,49.34M,-2.86%
24-Jun-20,0.875,0.89,0.895,0.875,20.29M,-1.13%
23-Jun-20,0.885,0.905,0.92,0.88,33.47M,-2.21%
22-Jun-20,0.905,0.9,0.91,0.895,14.22M,1.69%
19-Jun-20,0.89,0.88,0.92,0.88,29.95M,0.00%
18-Jun-20,0.89,0.89,0.91,0.88,22.78M,-1.11%
17-Jun-20,0.9,0.935,0.935,0.885,55.93M,-2.70%
16-Jun-20,0.925,0.91,0.935,0.905,67.85M,6.94%
15-Jun-20,0.865,0.975,0.975,0.865,89.76M,-10.82%
12-Jun-20,0.97,0.9,0.97,0.895,68.25M,-2.02%
11-Jun-20,0.99,1.03,1.09,0.965,132.33M,-2.94%
10-Jun-20,1.02,1.06,1.07,1,88.98M,-2.86%
9-Jun-20,1.05,0.93,1.1,0.91,318.79M,21.39%
5-Jun-20,0.865,0.865,0.905,0.835,137.68M,0.58%
4-Jun-20,0.86,0.9,0.915,0.83,175.11M,4.24%
3-Jun-20,0.825,0.83,0.86,0.77,227.78M,0.00%
2-Jun-20,0.825,0.71,0.835,0.71,240.67M,17.02%
