Date,Adj Close,Open,High,Low,Vol.,Change %
12-Aug-20,5.12,5.11,5.14,5.09,453.30K,0.59%
11-Aug-20,5.09,5.15,5.18,5.08,1.46M,-1.74%
10-Aug-20,5.18,5.19,5.19,5.14,485.20K,1.57%
8-Aug-20,5.1,5.18,5.18,5.1,1.39M,-1.54%
7-Aug-20,5.18,5.19,5.25,5.14,1.28M,-1.33%
6-Aug-20,5.25,5.17,5.25,5.16,994.20K,1.94%
5-Aug-20,5.15,5.15,5.18,5.09,1.27M,0.39%
4-Aug-20,5.13,5.22,5.23,5.13,2.00M,-1.54%
3-Aug-20,5.21,5.3,5.32,5.18,1.90M,-1.70%
30-Jul-20,5.3,5.28,5.33,5.21,2.39M,-0.56%
29-Jul-20,5.33,5.25,5.34,5.22,2.76M,1.14%
28-Jul-20,5.27,5.21,5.29,5.21,1.37M,1.54%
27-Jul-20,5.19,5.3,5.3,5.17,722.50K,-1.14%
24-Jul-20,5.25,5.33,5.33,5.21,969.30K,-0.76%
23-Jul-20,5.29,5.24,5.33,5.24,863.60K,0.19%
22-Jul-20,5.28,5.32,5.35,5.23,1.51M,-0.56%
21-Jul-20,5.31,5.28,5.34,5.25,1.28M,0.19%
20-Jul-20,5.3,5.37,5.37,5.25,1.33M,-1.49%
17-Jul-20,5.38,5.38,5.38,5.32,4.90M,0.37%
16-Jul-20,5.36,5.35,5.38,5.33,657.40K,0.19%
15-Jul-20,5.35,5.32,5.39,5.32,5.05M,0.00%
14-Jul-20,5.35,5.33,5.39,5.3,1.09M,0.00%
13-Jul-20,5.35,5.3,5.39,5.26,1.43M,0.56%
10-Jul-20,5.32,5.28,5.35,5.25,1.94M,0.76%
9-Jul-20,5.28,5.3,5.3,5.25,3.60M,-0.19%
8-Jul-20,5.29,5.2,5.32,5.19,1.51M,2.32%
7-Jul-20,5.17,5.29,5.31,5.17,3.38M,-2.64%
6-Jul-20,5.31,5.29,5.32,5.27,1.94M,0.38%
3-Jul-20,5.29,5.35,5.35,5.28,840.60K,-0.94%
2-Jul-20,5.34,5.3,5.36,5.27,3.62M,0.75%
1-Jul-20,5.3,5.37,5.37,5.29,1.58M,-1.30%
30-Jun-20,5.37,5.37,5.39,5.35,1.99M,0.94%
29-Jun-20,5.32,5.35,5.42,5.28,2.41M,-0.37%
26-Jun-20,5.34,5.32,5.37,5.3,509.30K,0.75%
25-Jun-20,5.3,5.3,5.32,5.29,1.99M,-0.56%
24-Jun-20,5.33,5.35,5.36,5.31,1.46M,-1.30%
23-Jun-20,5.4,5.35,5.4,5.31,938.80K,0.19%
22-Jun-20,5.39,5.36,5.4,5.34,443.80K,-1.10%
19-Jun-20,5.45,5.31,5.45,5.3,4.72M,2.25%
18-Jun-20,5.33,5.38,5.39,5.31,1.12M,-2.20%
17-Jun-20,5.45,5.32,5.45,5.31,1.13M,2.64%
16-Jun-20,5.31,5.34,5.42,5.28,2.54M,0.76%
15-Jun-20,5.27,5.3,5.34,5.25,2.51M,-1.31%
12-Jun-20,5.34,5.34,5.34,5.28,1.55M,-0.56%
11-Jun-20,5.37,5.4,5.41,5.3,1.87M,-0.56%
10-Jun-20,5.4,5.33,5.4,5.3,4.04M,1.50%
9-Jun-20,5.32,5.35,5.38,5.25,4.95M,0.57%
5-Jun-20,5.29,5.4,5.4,5.28,2.53M,-1.49%
4-Jun-20,5.37,5.44,5.51,5.36,4.29M,-1.29%
3-Jun-20,5.44,5.58,5.6,5.33,4.17M,-1.98%
2-Jun-20,5.55,5.35,5.55,5.31,3.61M,3.74%
1-Jun-20,5.35,5.31,5.38,5.29,2.75M,1.33%
29-May-20,5.28,5.33,5.37,5.28,10.45M,-2.04%
28-May-20,5.39,5.35,5.41,5.31,2.34M,0.75%
27-May-20,5.35,5.4,5.59,5.32,2.77M,-1.83%
22-May-20,5.45,5.35,5.56,5.34,4.42M,2.83%
21-May-20,5.3,5.3,5.36,5.29,1.99M,0.00%
20-May-20,5.3,5.31,5.31,5.27,958.30K,0.00%
19-May-20,5.3,5.3,5.34,5.29,1.35M,0.00%
18-May-20,5.3,5.32,5.36,5.29,2.83M,-0.75%
15-May-20,5.34,5.31,5.36,5.28,818.70K,0.38%
14-May-20,5.32,5.29,5.32,5.23,2.08M,0.38%
13-May-20,5.3,5.3,5.34,5.29,1.03M,-0.19%
12-May-20,5.31,5.28,5.33,5.27,2.46M,0.76%
8-May-20,5.27,5.3,5.36,5.27,2.17M,0.19%
6-May-20,5.26,5.29,5.35,5.26,1.86M,-0.38%
5-May-20,5.28,5.33,5.38,5.28,1.02M,0.00%
4-May-20,5.28,5.4,5.46,5.27,2.04M,-3.65%
30-Apr-20,5.48,5.37,5.5,5.37,3.08M,1.29%
29-Apr-20,5.41,5.36,5.44,5.34,1.30M,0.93%
28-Apr-20,5.36,5.3,5.42,5.3,1.63M,1.13%
27-Apr-20,5.3,5.31,5.36,5.28,964.40K,-0.19%
24-Apr-20,5.31,5.35,5.39,5.27,1.99M,-0.75%
23-Apr-20,5.35,5.44,5.44,5.28,2.38M,-0.56%
22-Apr-20,5.38,5.31,5.47,5.25,1.92M,-0.19%
21-Apr-20,5.39,5.32,5.4,5.27,1.66M,1.32%
20-Apr-20,5.32,5.46,5.49,5.3,1.40M,-2.56%
17-Apr-20,5.46,5.46,5.5,5.44,1.50M,0.00%
16-Apr-20,5.46,5.3,5.5,5.24,4.06M,3.02%
15-Apr-20,5.3,5.28,5.32,5.24,2.72M,1.15%
14-Apr-20,5.24,5.32,5.32,5.23,817.70K,-0.95%
13-Apr-20,5.29,5.17,5.34,5.15,1.75M,2.52%
10-Apr-20,5.16,5.32,5.33,5.13,879.70K,-2.64%
9-Apr-20,5.3,5.46,5.48,5.3,1.62M,-3.46%
8-Apr-20,5.49,5.36,5.49,5.3,1.63M,1.48%
7-Apr-20,5.41,5.16,5.41,5.16,3.64M,5.66%
6-Apr-20,5.12,5.19,5.19,5.04,2.26M,-1.35%
3-Apr-20,5.19,5.1,5.19,5.1,1.85M,1.96%
2-Apr-20,5.09,5.06,5.16,5.01,3.13M,0.20%
1-Apr-20,5.08,5.32,5.34,5.06,2.69M,-5.05%
31-Mar-20,5.35,5.48,5.48,5.31,6.03M,-2.73%
30-Mar-20,5.5,5.28,5.5,5.24,3.80M,2.42%
27-Mar-20,5.37,5.35,5.42,5.27,2.73M,0.75%
26-Mar-20,5.33,5.25,5.42,5.24,2.50M,-0.19%
25-Mar-20,5.34,5.17,5.37,5.17,2.27M,3.29%
24-Mar-20,5.17,5.05,5.23,5.05,1.88M,0.39%
23-Mar-20,5.15,4.9,5.28,4.9,3.73M,-0.96%
20-Mar-20,5.2,4.68,5.2,4.68,5.92M,11.11%
19-Mar-20,4.68,4.7,4.78,4.64,2.61M,-1.06%
18-Mar-20,4.73,4.7,4.79,4.61,5.45M,1.07%
17-Mar-20,4.68,4.8,5.03,4.59,8.68M,-9.83%
16-Mar-20,5.19,5.19,5.2,5.08,4.45M,-0.19%
13-Mar-20,5.2,5.18,5.34,4.88,7.21M,-0.95%
12-Mar-20,5.25,5.25,5.31,5.2,2.03M,-0.38%
11-Mar-20,5.27,5.27,5.31,5.21,3.81M,0.38%
10-Mar-20,5.25,5.29,5.37,5.25,3.15M,-1.13%
9-Mar-20,5.31,5.38,5.46,5.3,3.01M,-2.21%
6-Mar-20,5.43,5.37,5.45,5.36,1.71M,0.93%
5-Mar-20,5.38,5.43,5.43,5.37,1.06M,-1.28%
4-Mar-20,5.45,5.38,5.45,5.36,1.68M,1.30%
3-Mar-20,5.38,5.46,5.46,5.36,1.58M,-1.28%
2-Mar-20,5.45,5.46,5.51,5.41,2.24M,0.37%
28-Feb-20,5.43,5.41,5.55,5.39,4.89M,-1.45%
27-Feb-20,5.51,5.38,5.51,5.37,1.64M,2.61%
26-Feb-20,5.37,5.35,5.42,5.35,2.85M,-1.47%
25-Feb-20,5.45,5.35,5.46,5.31,2.25M,1.11%
24-Feb-20,5.39,5.35,5.44,5.35,1.26M,-0.92%
21-Feb-20,5.44,5.38,5.46,5.36,1.90M,0.74%
20-Feb-20,5.4,5.36,5.47,5.32,1.84M,0.56%
19-Feb-20,5.37,5.38,5.39,5.35,600.40K,0.37%
18-Feb-20,5.35,5.46,5.46,5.35,1.10M,-2.37%
17-Feb-20,5.48,5.6,5.6,5.48,630.40K,-2.66%
14-Feb-20,5.63,5.46,5.63,5.46,1.68M,2.36%
13-Feb-20,5.5,5.49,5.53,5.45,1.17M,-1.43%
12-Feb-20,5.58,5.38,5.64,5.34,1.62M,3.33%
11-Feb-20,5.4,5.36,5.47,5.36,797.00K,-0.18%
10-Feb-20,5.41,5.38,5.45,5.33,1.14M,-0.73%
7-Feb-20,5.45,5.4,5.47,5.37,1.36M,0.93%
6-Feb-20,5.4,5.45,5.48,5.38,1.48M,-0.74%
5-Feb-20,5.44,5.44,5.5,5.35,2.14M,0.00%
4-Feb-20,5.44,5.39,5.53,5.39,2.62M,1.49%
3-Feb-20,5.36,5.26,5.44,5.26,1.47M,0.94%
31-Jan-20,5.31,5.54,5.57,5.28,4.14M,-3.45%
30-Jan-20,5.5,5.5,5.54,5.48,1.53M,0.18%
29-Jan-20,5.49,5.45,5.56,5.44,1.15M,0.55%
28-Jan-20,5.46,5.46,5.5,5.41,498.10K,-0.73%
24-Jan-20,5.5,5.59,5.59,5.47,24.80K,-1.61%
23-Jan-20,5.59,5.48,5.64,5.47,639.60K,2.01%
22-Jan-20,5.48,5.51,5.6,5.47,1.53M,-0.90%
21-Jan-20,5.53,5.58,5.58,5.52,396.50K,-1.25%
20-Jan-20,5.6,5.7,5.7,5.57,1.07M,-1.75%
17-Jan-20,5.7,5.6,5.7,5.55,4.68M,1.79%
16-Jan-20,5.6,5.55,5.6,5.52,2.28M,-0.36%
15-Jan-20,5.62,5.49,5.62,5.46,2.56M,2.18%
14-Jan-20,5.5,5.44,5.52,5.44,1.43M,0.55%
13-Jan-20,5.47,5.5,5.51,5.43,1.09M,-0.55%
10-Jan-20,5.5,5.51,5.51,5.46,717.40K,-0.18%
9-Jan-20,5.51,5.51,5.51,5.44,1.91M,0.18%
8-Jan-20,5.5,5.45,5.5,5.4,1.09M,0.92%
7-Jan-20,5.45,5.39,5.5,5.38,1.50M,2.25%
6-Jan-20,5.33,5.51,5.51,5.33,884.60K,-3.44%
3-Jan-20,5.52,5.43,5.52,5.36,1.48M,2.41%
2-Jan-20,5.39,5.37,5.4,5.33,687.50K,1.32%
31-Dec-19,5.32,5.4,5.4,5.31,1.89M,-1.12%
30-Dec-19,5.38,5.42,5.44,5.32,1.42M,-1.28%
27-Dec-19,5.45,5.34,5.45,5.33,474.70K,1.30%
